A,B,C,D,Volume,Height,H2
4.00,-54.00,2.00,2.00,9.565778,1537.815757,1.860700
5.00,-54.00,2.00,2.00,9.928196,1634.414787,2.088302
6.00,-54.00,2.00,2.00,10.679722,1686.792949,2.128226
7.00,-54.00,2.00,2.00,10.408030,1673.413486,2.112327
8.00,-54.00,2.00,2.00,10.759655,1393.201508,1.940616
9.00,-54.00,2.00,2.00,11.259987,1629.914897,2.119770
10.00,-54.00,2.00,2.00,9.902355,1564.686037,1.884515
0.00,-51.00,2.00,2.00,9.868362,1961.426364,3.156699
1.00,-51.00,2.00,2.00,11.094913,1603.726643,2.361668
2.00,-51.00,2.00,2.00,10.322485,1712.333476,2.248257
3.00,-51.00,2.00,2.00,11.736319,1782.420854,2.298134
4.00,-51.00,2.00,2.00,9.697785,1629.200890,1.952711
5.00,-51.00,2.00,2.00,9.801178,1729.620915,2.184249
6.00,-51.00,2.00,2.00,7.680000,1734.296743,2.173264
7.00,-51.00,2.00,2.00,10.300214,1771.077641,2.210608
8.00,-51.00,2.00,2.00,10.515157,1473.595761,2.021513
9.00,-51.00,2.00,2.00,11.131256,1725.188397,2.215913
10.00,-51.00,2.00,2.00,9.797556,1656.110282,1.976485
0.00,-48.00,2.00,2.00,9.821520,2081.897263,3.280838
1.00,-48.00,2.00,2.00,10.234980,1701.822013,2.461232
2.00,-48.00,2.00,2.00,10.119585,1817.541106,2.354495
3.00,-48.00,2.00,2.00,11.579164,1892.200505,2.408851
4.00,-48.00,2.00,2.00,9.483692,1728.838524,2.052828
5.00,-48.00,2.00,2.00,9.826810,1836.676167,2.292082
6.00,-48.00,2.00,2.00,10.395670,1896.218607,2.339106
7.00,-48.00,2.00,2.00,10.158631,1880.832088,2.321066
8.00,-48.00,2.00,2.00,10.365119,1563.760831,2.112251
9.00,-48.00,2.00,2.00,11.123448,1832.189831,2.323992
10.00,-48.00,2.00,2.00,9.748941,1758.976996,2.079896
0.00,-45.00,2.00,2.00,9.707860,2218.121997,3.421425
1.00,-45.00,2.00,2.00,10.587553,1812.556358,2.573735
2.00,-45.00,2.00,2.00,10.047083,1936.401911,2.474569
3.00,-45.00,2.00,2.00,11.376448,2016.312916,2.534089
4.00,-45.00,2.00,2.00,9.471552,1843.247542,2.168025
5.00,-45.00,2.00,2.00,9.721445,1957.761042,2.414052
6.00,-45.00,2.00,2.00,10.447598,2021.526917,2.465234
7.00,-45.00,2.00,2.00,10.462245,1952.960973,2.392843
8.00,-45.00,2.00,2.00,10.340992,1665.601930,2.214757
9.00,-45.00,2.00,2.00,10.965704,1953.427434,2.446400
10.00,-45.00,2.00,2.00,9.668786,1875.466106,2.197174
0.00,-42.00,2.00,2.00,9.589817,2373.382850,3.581973
1.00,-42.00,2.00,2.00,10.220137,1938.534640,2.701804
2.00,-42.00,2.00,2.00,9.990381,2071.839836,2.611476
3.00,-42.00,2.00,2.00,11.078792,2157.819454,2.676939
4.00,-42.00,2.00,2.00,8.985268,1810.628094,2.133780
5.00,-42.00,2.00,2.00,9.749296,2095.936058,2.553198
6.00,-42.00,2.00,2.00,10.284838,2164.783415,2.609194
7.00,-42.00,2.00,2.00,10.063126,2146.595811,2.588609
8.00,-42.00,2.00,2.00,10.199268,1781.456368,2.331426
9.00,-42.00,2.00,2.00,10.846320,2091.758057,2.586218
10.00,-42.00,2.00,2.00,9.564620,2008.465098,2.331086
0.00,-39.00,2.00,2.00,9.572632,2551.873160,3.766865
1.00,-39.00,2.00,2.00,9.969459,2083.101967,2.848869
2.00,-39.00,2.00,2.00,10.019794,2227.532867,2.768946
3.00,-39.00,2.00,2.00,10.998976,2320.584756,2.841334
4.00,-39.00,2.00,2.00,9.299246,2124.308593,2.451133
