FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A1_00_B_57_00_C2_00_D2_00.odb,-4.635,1.115,3.963,0.1473,0.4293,8.0689,742.5104,2.853
job_A1_00_B_57_00_C2_00_D3_00.odb,-5.708,1.166,7.35,0.1713,0.2545,4.2299,1252.65,1.5364
job_A1_00_B_57_00_C2_00_D4_00.odb,-7.72,1.569,9.348,0.1768,0.1981,3.4252,1609.5164,1.254
job_A1_00_B_60_00_C2_00_D1_00.odb,-7.53,1.353,9.325,0.1674,0.2039,3.4562,1563.5813,1.2631
job_A1_00_B_60_00_C2_00_D2_00.odb,-4.222,1.124,3.613,0.1524,0.452,8.5591,705.2001,3.024
job_A1_00_B_60_00_C2_00_D3_00.odb,-5.833,1.184,7.47,0.1714,0.2464,4.1504,1293.9241,1.5075
job_A1_00_B_60_00_C2_00_D4_00.odb,-7.14,1.594,9.304,0.1729,0.2012,3.3644,1584.5283,1.2337
job_A2_00_B_30_00_C2_00_D3_00.odb,-4.012,0.889,3.266,0.1455,0.4065,11.3602,784.2408,3.931
job_A2_00_B_30_00_C2_00_D4_00.odb,-3.22,1.186,3.717,0.1442,0.3507,9.8823,908.9205,3.4245
job_A2_00_B_30_00_C3_00_D1_00.odb,-2.645,1.268,5.142,0.1213,0.2277,7.2801,1400.0616,2.5176
job_A2_00_B_30_00_C3_00_D2_00.odb,-2.537,1.15,5.075,0.1308,0.3703,7.1521,860.8007,2.5256
job_A2_00_B_30_00_C3_00_D3_00.odb,-3.036,1.715,3.773,0.1381,0.3454,9.7156,922.8467,3.3657
job_A2_00_B_33_00_C2_00_D1_00.odb,-5.557,0.898,5.161,0.1399,0.2558,7.2566,1246.395,2.5252
job_A2_00_B_33_00_C2_00_D2_00.odb,-1.509,0.668,4.006,0.0981,0.3442,9.0405,926.2712,3.1293
job_A2_00_B_33_00_C2_00_D3_00.odb,-3.503,0.931,2.977,0.1467,0.4371,12.3273,729.3331,4.2606
job_A2_00_B_33_00_C2_00_D4_00.odb,-3.056,1.235,3.592,0.1479,0.3382,10.162,942.6118,3.5139
job_A2_00_B_33_00_C3_00_D2_00.odb,-2.458,1.083,5.02,0.1289,0.3458,7.1863,921.9701,2.5281
job_A2_00_B_33_00_C3_00_D3_00.odb,-2.825,1.799,3.529,0.1373,0.3573,10.314,892.174,3.5669
job_A2_00_B_36_00_C2_00_D1_00.odb,-4.774,0.901,4.739,0.1425,0.2727,7.8068,1168.7745,2.7133
job_A2_00_B_36_00_C2_00_D2_00.odb,-1.605,0.711,4.015,0.0946,0.3536,8.967,901.4413,3.107
job_A2_00_B_36_00_C2_00_D3_00.odb,-3.395,1.029,3.037,0.1466,0.4021,12.2107,792.7723,4.2106
job_A2_00_B_36_00_C2_00_D4_00.odb,-3.124,1.31,3.644,0.1467,0.3656,9.9638,872.0165,3.4571
job_A2_00_B_36_00_C3_00_D2_00.odb,-2.341,1.05,4.914,0.1288,0.3508,7.2809,908.6668,2.561
job_A2_00_B_36_00_C3_00_D3_00.odb,-2.302,1.671,3.012,0.1359,0.3978,11.7034,801.3878,4.0382
job_A2_00_B_39_00_C2_00_D1_00.odb,-4.075,0.924,4.62,0.1455,0.2545,7.9718,1252.7592,2.7627
job_A2_00_B_39_00_C2_00_D3_00.odb,-3.298,0.99,2.998,0.1468,0.4019,12.0883,793.1263,4.1702
job_A2_00_B_39_00_C2_00_D4_00.odb,-2.944,1.475,3.413,0.145,0.351,10.5071,908.1759,3.6311
job_A2_00_B_39_00_C3_00_D2_00.odb,-2.405,0.981,5.1,0.1227,0.3208,6.9533,993.7411,2.4409
job_A2_00_B_39_00_C3_00_D3_00.odb,-2.127,1.624,3.214,0.1339,0.3862,10.8994,825.3948,3.7685
job_A2_00_B_42_00_C2_00_D1_00.odb,-3.842,0.99,5.212,0.1459,0.2355,7.0491,1353.7513,2.4521
job_A2_00_B_42_00_C2_00_D2_00.odb,-1.599,0.773,4.31,0.0972,0.3208,8.2708,993.7516,2.8673
job_A2_00_B_42_00_C2_00_D3_00.odb,-3.114,0.927,3.2,0.1476,0.3903,11.0628,816.8167,3.8282
job_A2_00_B_42_00_C2_00_D4_00.odb,-2.789,1.41,3.813,0.1475,0.3322,9.3724,959.6069,3.2512
job_A2_00_B_42_00_C3_00_D1_00.odb,-3.046,1.794,5.973,0.1256,0.2068,6.1207,1541.7908,2.1295
job_A2_00_B_42_00_C3_00_D2_00.odb,-2.457,1.011,5.368,0.1192,0.3225,6.5504,988.4519,2.3074
job_A2_00_B_42_00_C3_00_D3_00.odb,-2.202,1.671,3.222,0.1297,0.3667,10.9218,869.2441,3.768
job_A2_00_B_45_00_C2_00_D1_00.odb,-0.003,0.0,0.0,1.0,958473.6213,8761341.7689,0.0003,3207539.4088
job_A2_00_B_45_00_C2_00_D2_00.odb,-1.606,0.868,4.71,0.0968,0.3177,7.5268,1003.5416,2.6206
job_A2_00_B_45_00_C2_00_D3_00.odb,-2.963,0.961,3.201,0.1402,0.3845,10.979,829.0386,3.7962
job_A2_00_B_45_00_C2_00_D4_00.odb,-2.889,1.442,4.002,0.1416,0.3102,9.0262,1027.4994,3.1278
job_A2_00_B_45_00_C3_00_D1_00.odb,-3.015,1.752,6.625,0.1266,0.2429,5.4032,1312.3263,1.905
job_A2_00_B_45_00_C3_00_D2_00.odb,-2.366,0.92,5.511,0.1077,0.2829,6.3967,1126.9532,2.2398
job_A2_00_B_48_00_C2_00_D1_00.odb,-3.252,0.995,5.452,0.1515,0.23,6.6334,1386.0665,2.3149
job_A2_00_B_48_00_C2_00_D2_00.odb,-1.476,0.886,4.661,0.0973,0.2947,7.5523,1081.6143,2.6216
job_A2_00_B_48_00_C2_00_D3_00.odb,-2.814,1.063,3.644,0.1351,0.3458,9.7536,921.788,3.3774
job_A2_00_B_48_00_C2_00_D4_00.odb,-3.258,1.405,3.92,0.1419,0.3268,9.0695,975.4377,3.1476
