Category,A,B,C,Volume,vol_reduce(%),Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index,Phi_Comp_Norm,Gamma_Allie_Norm,Omega_Stiff_Norm,vol_reduce(%)_Norm,SEI_J_Index_Rigorous,SEI_Score_100
S,1.0,64.0,20.0,13.173132,24.72,-4.622,1.793,5.114,0.1585,0.5638,5.2911,565.4022,1.9844,0.0886,0.2795,0.0727,0.7539,0.3395,33.95
S,1.0,68.0,0.0,11.934153,31.8,-4.506,1.808,4.938,0.1589,0.5732,6.0486,556.1104,2.2376,0.0911,0.2901,0.1127,0.9176,0.4034,40.34
S,1.0,68.0,0.0,13.24347,24.32,-4.506,1.808,4.938,0.1589,0.5732,5.4506,556.1104,2.0403,0.0911,0.2901,0.0811,0.7446,0.3404,34.04
S,1.0,68.0,5.0,12.675145,27.57,-5.632,2.048,5.845,0.1526,0.4727,4.8112,674.4236,1.794,0.0523,0.1769,0.0474,0.8198,0.3281,32.81
S,1.0,68.0,15.0,13.16179,24.79,-4.671,1.863,5.106,0.1575,0.5548,5.3039,574.6322,1.9853,0.0825,0.2693,0.0734,0.7555,0.3364,33.64
S,1.0,68.0,20.0,13.24347,24.32,-4.481,1.81,4.938,0.1584,0.5734,5.4506,555.9733,2.0402,0.088,0.2903,0.0811,0.7446,0.3394,33.94
S,1.0,72.0,0.0,11.706732,33.1,-4.707,2.263,5.741,0.1631,0.4793,5.3036,665.1503,1.9622,0.1169,0.1843,0.0734,0.9477,0.3978,39.78
S,1.0,72.0,0.0,12.681855,27.53,-4.707,2.263,5.741,0.1631,0.4793,4.8958,665.1503,1.8276,0.1169,0.1843,0.0519,0.8189,0.3513,35.13
S,1.0,72.0,5.0,12.160408,30.51,-5.503,2.939,7.24,0.1447,0.3388,4.0486,940.9974,1.4956,0.0037,0.0261,0.0072,0.8878,0.3027,30.27
S,1.0,72.0,10.0,12.406192,29.11,-5.18,2.776,6.731,0.1504,0.3784,4.2685,842.3555,1.5831,0.0388,0.0707,0.0188,0.8554,0.313,31.3
S,1.0,72.0,15.0,12.526415,28.42,-4.747,2.394,6.153,0.16,0.4352,4.6247,732.4869,1.7226,0.0978,0.1347,0.0376,0.8395,0.3411,34.11
S,1.0,72.0,20.0,12.681855,27.53,-4.7,2.268,5.743,0.1629,0.4791,4.8941,665.356,1.8269,0.1157,0.1841,0.0518,0.8189,0.3508,35.08
S,1.0,76.0,0.0,11.693832,33.18,-4.788,2.316,5.778,0.1615,0.474,5.2755,672.5402,1.9506,0.1071,0.1784,0.0719,0.9496,0.394,39.4
S,1.0,76.0,0.0,12.660149,27.66,-4.788,2.316,5.778,0.1615,0.474,4.8728,672.5402,1.8177,0.1071,0.1784,0.0507,0.8219,0.3478,34.78
S,1.0,76.0,5.0,12.178738,30.41,-5.464,2.848,7.249,0.1447,0.3371,4.0375,945.5171,1.4914,0.0037,0.0242,0.0066,0.8855,0.3015,30.15
S,1.0,76.0,10.0,12.258095,29.95,-5.628,2.813,7.002,0.1485,0.36,4.1529,885.4261,1.5383,0.0271,0.05,0.0127,0.8749,0.3111,31.11
S,1.0,76.0,15.0,12.498112,28.58,-4.854,2.45,6.219,0.1584,0.4265,4.586,747.4482,1.7064,0.088,0.1249,0.0355,0.8432,0.3371,33.71
S,1.0,80.0,0.0,11.656334,33.39,-4.727,2.307,5.813,0.1622,0.4612,5.2606,691.124,1.9417,0.1114,0.1639,0.0711,0.9544,0.3944,39.44
S,1.0,80.0,0.0,12.626372,27.85,-4.727,2.307,5.813,0.1622,0.4612,4.8564,691.124,1.8083,0.1114,0.1639,0.0498,0.8263,0.3482,34.82
S,1.0,80.0,5.0,12.201451,30.28,-5.467,2.843,7.424,0.1474,0.3311,3.935,962.6782,1.4565,0.0203,0.0175,0.0012,0.8825,0.304,30.4
S,1.0,80.0,10.0,12.353435,29.41,-5.076,2.669,6.961,0.1496,0.3636,4.1451,876.7471,1.5372,0.0338,0.054,0.0123,0.8624,0.3098,30.98
S,1.0,80.0,15.0,12.478363,28.7,-4.973,2.407,6.232,0.158,0.4183,4.5836,762.0713,1.7028,0.0855,0.1156,0.0354,0.8459,0.3356,33.56
S,1.0,80.0,20.0,12.592001,28.05,-4.99,2.347,5.857,0.1609,0.4552,4.8331,700.2365,1.7982,0.1034,0.1572,0.0486,0.8309,0.3457,34.57
A,0.0,90.0,3.2,13.546875,22.59,-3.091,1.139,3.186,0.2124,0.5702,8.2587,559.0861,2.9836,0.4203,0.2867,0.2292,0.7046,0.461,46.1
